TEXAS,KN
Seramai,KBIL
14,KBIL
pelajar,KN
dan,KSN
seorang,KBIL
guru,KN
di,KSN
sebuah,KBIL
sekolah,KN
South,KAR
maut,ADJ
selepas,ADV
terkena,KK
tembakan,KK
dilepaskan,KK
lelaki,KN
bersenjata,ADJ
tengah,KAR
hari,ADV
semalam,ADV
Gabenor,KN
Greg,KN
Abbott,KN
ketika,KH
memaklumkan,KK
perkara,ADJ
itu,KAR
kepada,KSN
pemberita,KN
berkata,KK
suspek,KN
dikenali,KSN
sebagai,KB
Salvador,KN
Ramos,KN
berusia,ADJ
18,KBIL
tahun,ADV
dipercayai,KK
ditembak,KK
mati,ADJ
pegawai,KN
polis,KN
yang,KH
bertindak,KK
balas,KK
lokasi,KN
kejadian,KN
Beliau,KG
dua,KBIL
daripada,KH
turut,KH
terkena,KB
namun,KH
tidak,KSN
mengalami,KK
kecederaan,ADJ
serius,ADJ
dengan,KH
pihak,KN
berkuasa,ADJ
menjelaskan,KK
sendirian,KBIL
Bagaimanapun,PW
butiran,KN
rasmi,ADJ
mengenai,KSN
keganasan,KK
berlaku,ADJ
Rendah,ADJ
Robb,KN
bandar,ADJ
Uvalde,KN
kira-kira,ADJ
12875,KBIL
kilometer,KBIL
ke,KSN
barat,KAR
San,KN
Antonio,KN
itu,KSN
masih,KB
kabur,ADJ
menembak,KK
membunuh,KK
secara,KB
mengerikan,ADJ
dapat,KK
difahami,KK
pelajar,KBIL
dan,KH
juga,KH
balas,ADJ
kejadian,ADJ
katanya,KK
Berdasarkan,KSN
laporan,KN
CNN,KK
terbabit,KSN
memandu,KK
masuk,KK
ke,KH
senapang,KN
pistol,KN
Sementara,PW
itu,PW
Ketua,ADJ
Jabatan,KN
Gabungan,KN
Bebas,KN
Pete,KN
Arredondo,KN
mayat,ADJ
terdiri,KH
daripada,KSN
murid,KN
gred,ADJ
tiga,KBIL
empat,KBIL
Hospital,KN
Universiti,KN
Twitter,KN
pihaknya,K
menerima,KK
mangsa,KN
Uvalde,KK
masing-masing,KBIL
wanita,KN
berumur,ADJ
66,KBIL
kanak-kanak,KN
perempuan,KN
berusia,ADV
10,KBIL
dalam,KSN
keadaan,
kritikal,
Amukan,KK
adalah,KH
terbaru,ADJ
siri,ADJ
besar-besaran,KBIL
Amerika,KN
Syarikat,KN
mengejutkan,KK
dunia,KN
mencetuskan,KK
perdebatan,KK
sengit,ADJ
antara,KH
penyokong,KN
kawalan,KK
senjata,KN
lebih,KB
ketat,ADJ
penentang,KN
undang-undang,KN
boleh,KH
menjejaskan,ADJ
hak,KN
rakyat,KN
untuk,KH
memegang,KK
paling,KSN
mengerikan,ADJ
setakat,ADV
ini,KSN
26,KBIL
orang,KN
termasuk,KH
20,KBIL
lima,KBIL
hingga,KH
Rendah,KN
Sandy,KN
Hook,KN
Connecticut,KN
pada,KSN
Disember,KN
2012,KBIL
2018,KBIL
bekas,ADJ
Marjory,KN
Stoneman,KN
Douglas,KN
High,KN
School,KN
Parkland,KN
Florida,KN
17,KBIL
pendidik,KN
REUTERS,KN
,
KUALA,KN
LUMPUR,KN
Menteri,KN
Pembangunan,KN
Infrastruktur,KN
Sabah,KN 
Peter,KN
Anthony,KN
dokumen,KN
palsu,ADJ 
kontrak,KN
kerja,KK
penyelenggaraan,KK
perkhidmatan,KK
Sistem,KN
Mekanikal,KN
Elektrikal,KN
M&E,KEP
Malaysia,KN
Sabah,KN
UMS,KEP
Hakim,KN
Mahkamah,KN
Sesyen,KN
Azura,KN
Alwi,KN
membuat,KK
keputusan,KK
itu,KH
pembelaan,KN
gagal,ADJ
menimbulkan,KK
keraguan,KK
terhadap,KSN
kes,KN
Ahli,KN
Dewan,KN
Undangan,KN
Negeri,KN
ADUN,KEP
Malalap,KN
lalu,ADV
memerintahkan,KK
51,KBIL
membela,KK
diri,KN
mendapati,KK
pendakwaan,KN
berjaya,ADJ
mewujudkan,KK
prima,KN
facie,KN
tertuduh,KN
21,KBIL
September,KN
2021,KBIL
menutup,KK
berkenaan,ADJ
15,KBIL
saksi,KN
dipanggil,KK
memberi,KK
keterangan,KN
Perdana,KN
Datuk,KN
Seri,KN
Najib,KN
Razak,KN
Ketua,KN
Setiausaha,KN
Perbendaharaan,KN
Tan,KN
Sri,KN
Dr,KN
Mohd,KEP
Irwan,KN
Serigar,KN
Abdullah,KN
Negara,KN
Tun,KN
Zaki,KN
Azmi,KN
keterangan,KK
perbicaraan,KK
bermula,ADJ
April,KN
sebagai,KK
Pengarah,KN
Urusan,KN
Asli,KN
Jati,KN
didakwa,KK
memalsukan,KK
surat,KN
pejabat,KN
Timbalan,KN
Naib,KN
Canselor,KN
UMS,KEP
bertarikh,ADV
9,KBIL
Jun,KN
2014,KBIL
memasukkan,KK
pernyataan,KN
palsu,ADJ
niat,ADJ
menipu,KK
Sulit,KN
bangunan,KN
Putra,KN
Putrajaya,KN
13,KBIL
Jun,KBIL
Ogos,KN
Beliau,KN
juga,KH
berdepan,KK
pertuduhan,KN
pilihan,ADJ
iaitu,KH
menggunakan,KK
tajuk,KN
tempat,KN
masa,KN
sama,ADJ
Pertuduhan,KK
mengikut,KK
Seksyen,KN
468,KBIL
Kanun,KN
Keseksaan,KN
memperuntukkan,KK
hukuman,KK
penjara,KN
tujuh,KBIL
denda,KK
dikemukakan,KK
sepanjang,ADV
perbicaraan,KN
menyatakan,KK
bahawa,KH
Sdn,KEP
Bhd,KEP
telah,KB
menjalankan,KK
kerja-kerja,KK
fasa,ADJ
pertama,KBIL
UMS,KN
perkara,KN
tidak,ADJ
dinafikan,KK
Terdapat,KK
mencukupi,ADJ
ketiga,KBIL
kelapan,KBIL
kesembilan,KBIL
mengaburi,KK
pemikiran,KN
mereka,KG
mengenai,KK
smart,NM
partnership,NM
anak,KN
milik,KN
penuh,ADJ
Ulink,KN
Property,KN
kata,KK
ialah,KH
Akademik,KN
&,NM
Antarabangsa,KN
Profesor,KN
Shariff,KN
